,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Price,Company
0,Maruti Wagon R,Mumbai,2010,72000,CNG,Manual,First,175000.0,Maruti
1,Hyundai Creta 1.6,Pune,2015,41000,Diesel,Manual,First,1250000.0,Hyundai
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,450000.0,Honda
3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,600000.0,Maruti
4,Audi A4 New,Coimbatore,2013,40670,Diesel,Automatic,Second,1773999.9999999998,Audi
5,Hyundai EON LPG,Hyderabad,2012,75000,LPG,Manual,First,235000.0,Hyundai
6,Nissan Micra Diesel,Jaipur,2013,86999,Diesel,Manual,First,350000.0,Nissan
7,Toyota Innova Crysta,Mumbai,2016,36000,Diesel,Automatic,First,1750000.0,Toyota
8,Volkswagen Vento Diesel,Pune,2013,64430,Diesel,Manual,First,520000.0,Volkswagen
9,Tata Indica Vista,Chennai,2012,65932,Diesel,Manual,Second,195000.0,Tata
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,994999.9999999999,Maruti
11,Honda City 1.5,Kolkata,2012,60000,Petrol,Automatic,First,449000.0,Honda
12,Maruti Swift VDI,Jaipur,2015,64424,Diesel,Manual,First,560000.0,Maruti
13,Land Rover Range,Delhi,2014,72000,Diesel,Automatic,First,2700000.0,Land
14,Land Rover Freelander,Pune,2012,85000,Diesel,Automatic,Second,1750000.0,Land
15,Mitsubishi Pajero Sport,Delhi,2014,110000,Diesel,Manual,First,1500000.0,Mitsubishi
16,Honda Amaze S,Kochi,2016,58950,Diesel,Manual,First,540000.0,Honda
17,Maruti Swift DDiS,Jaipur,2017,25000,Diesel,Manual,First,599000.0,Maruti
18,Renault Duster 85PS,Kochi,2014,77469,Diesel,Manual,First,634000.0,Renault
19,Mercedes-Benz New C-Class,Bangalore,2014,78500,Diesel,Automatic,First,2800000.0,Mercedes-Benz
20,BMW 3 Series,Kochi,2014,32982,Diesel,Automatic,First,1855000.0,BMW
21,Maruti S Cross,Bangalore,2015,55392,Diesel,Manual,Second,825000.0,Maruti
22,Audi A6 2011-2015,Mumbai,2015,55985,Petrol,Automatic,First,2350000.0,Audi
23,Hyundai i20 1.2,Kolkata,2010,45807,Petrol,Manual,First,187000.0,Hyundai
24,Volkswagen Vento Petrol,Kolkata,2010,33000,Petrol,Automatic,First,285000.0,Volkswagen
25,Honda City Corporate,Mumbai,2012,51920,Petrol,Manual,First,425000.0,Honda
26,Nissan Micra Diesel,Hyderabad,2012,54000,Diesel,Manual,First,425000.0,Nissan
27,Maruti Alto K10,Hyderabad,2013,54000,Petrol,Manual,Second,275000.0,Maruti
28,Honda WRV i-VTEC,Kochi,2018,37430,Petrol,Manual,First,990000.0,Honda
29,Toyota Innova 2.5,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,400000.0,Toyota
30,Renault Duster 110PS,Bangalore,2013,62000,Diesel,Manual,First,775000.0,Renault
31,Toyota Corolla Altis,Delhi,2012,87615,Petrol,Manual,First,675000.0,Toyota
32,Mahindra Ssangyong Rexton,Bangalore,2013,72000,Diesel,Automatic,Second,1250000.0,Mahindra
33,Audi A6 2.7,Kolkata,2010,35000,Diesel,Automatic,First,1150000.0,Audi
34,Volkswagen Vento 1.6,Coimbatore,2014,55431,Petrol,Manual,Second,698000.0,Volkswagen
35,Maruti Wagon R,Jaipur,2009,83816,Petrol,Manual,Second,185000.0,Maruti
36,Maruti Vitara Brezza,Kochi,2018,50075,Diesel,Manual,First,863000.0000000001,Maruti
37,Mahindra KUV 100,Delhi,2017,52000,Petrol,Manual,First,484999.99999999994,Mahindra
38,Mercedes-Benz M-Class ML,Pune,2013,85000,Diesel,Automatic,First,2800000.0,Mercedes-Benz
39,Volkswagen Polo Diesel,Chennai,2013,62000,Diesel,Manual,First,500000.0,Volkswagen
